industry,origin_city,dest_tier,shipments_per_day,avg_weight,avg_distance_km,pct_same_day,pct_4hr,peak_window,on_time_importance,current_provider,cur_delivery_time_hr,cur_cost_aed,fuel_cost,driver_wage,vehicle_type,maint_cost_per_km,delay_rate_pct,delay_reason,delay_churn_pct,csat_current,nps_current,repeat_rate,complaint_count,complaint_category,faster_rev_impact,sales_uplift_pct,premium_wtp,cost_vs_speed,switch_likelihood,avg_stops,return_pickups_pct,traffic_level,cold_chain_pct,cust_time_pref,speed_rankings,price_rankings,switch_reason,adoption_drivers,churn_threshold,target_cost_per_km,fuel_sensitivity_pct,desired_cost_redux,roi_months,primary_kpi
other,Abu Dhabi,Tier-1 urban,48.52,4.41,24.49,16.62,25.72,6–10 pm,5,Traditional 3PL,2.57,30.91,2.53,29.58,Van,1.7,55.92,Traffic,16.54,7,-3,6.82,0,Poor support,No,64.27,5.91,Both equal,5,8,57,Moderate,18,Evening,"[3, 5, 2, 4, 1]","[5, 1, 3, 2, 4]",Cost,"AI ETA accuracy, 24/7 support, Real-time tracking",After 1 miss,2.28,22.17,15.58,4,Delivery time
electronics,Abu Dhabi,Tier-2 suburban,25.01,1.75,6.57,31.65,30.08,10 am–2 pm,5,Competitor B,4.44,16.14,3.56,17.57,Truck,1.71,7.15,Customs,24.35,5,-90,13.71,0,Late delivery,Yes,62.53,4.4,Cost over speed,3,2,33,Moderate,38,Afternoon,"[5, 1, 2, 4, 3]","[5, 3, 1, 4, 2]",Speed,Real-time tracking,After 1 miss,2.81,13.72,21.61,6,Delivery time
electronics,Dubai,Tier-1 urban,26.29,7.96,10.37,16.58,68.57,10 am–2 pm,4,Competitor B,4.81,20.81,2.44,21.06,Bike,2.01,26.49,Traffic,47.48,2,99,29.08,1,Late delivery,Yes,29.12,4.91,Speed over cost,2,5,54,Light,14,Afternoon,"[2, 1, 5, 3, 4]","[2, 3, 4, 1, 5]",Speed,COD handling,Would stay,3.58,21.75,19.5,2,On-time %
other,Abu Dhabi,Tier-2 suburban,33.78,9.21,29.62,10.58,38.35,6–10 am,3,Traditional 3PL,3.02,25.03,3.47,14.39,Van,0.76,28.99,Traffic,35.56,1,25,8.84,2,Late delivery,No,12.75,20.0,Both equal,5,8,1,Heavy,12,Evening,"[5, 1, 3, 4, 2]","[3, 1, 4, 2, 5]",Cost,"CO₂ reporting, AI ETA accuracy, Real-time tracking",3 misses,2.78,9.99,35.73,7,Delivery time
pharma,Abu Dhabi,Tier-1 urban,173.73,1.99,9.61,8.56,19.51,6–10 am,3,Competitor A,6.69,31.96,3.45,25.25,Truck,2.39,27.01,Vehicle breakdown,31.6,1,-42,50.35,0,Late delivery,No,41.53,9.12,Cost over speed,2,6,89,Heavy,99,Afternoon,"[3, 5, 4, 2, 1]","[3, 5, 2, 1, 4]",Service,AI ETA accuracy,5 misses,0.82,28.95,42.71,1,Delivery time
fashion,Sharjah,Tier-1 urban,62.54,0.2,29.95,33.0,29.01,2–6 pm,2,Competitor B,5.87,32.57,3.61,26.78,Truck,2.15,13.01,Traffic,29.74,8,81,39.87,0,Late delivery,Yes,29.25,0.0,Both equal,3,4,44,Moderate,37,Evening,"[1, 5, 3, 2, 4]","[4, 5, 3, 2, 1]",Cost,AI ETA accuracy,3 misses,1.75,17.73,35.57,3,Delivery time
groceries,Sharjah,Tier-1 urban,30.46,4.38,22.07,49.82,34.01,10 am–2 pm,5,Traditional 3PL,2.27,24.01,2.43,23.23,Bike,1.01,10.8,Driver shortage,35.5,3,1,30.88,3,Late delivery,Yes,36.05,4.82,Cost over speed,4,6,17,Moderate,29,Anytime,"[4, 2, 1, 5, 3]","[1, 4, 2, 5, 3]",Service,COD handling,5 misses,2.92,55.94,47.58,10,On-time %
fashion,Dubai,Tier-2 suburban,13.83,5.89,9.89,11.21,33.76,2–6 pm,1,Competitor A,2.63,16.27,3.25,50.0,Van,1.66,13.97,Customs,41.44,5,-74,9.94,1,Late delivery,No,43.96,3.6,Both equal,3,8,42,Light,67,Anytime,"[4, 2, 5, 3, 1]","[2, 1, 4, 5, 3]",Reliability,24/7 support,3 misses,1.8,27.05,13.25,4,CSAT
e-commerce,Dubai,Tier-2 suburban,30.74,0.2,20.59,15.26,5.2,10 am–2 pm,3,Traditional 3PL,10.86,29.54,3.22,17.13,Truck,1.89,66.51,Wrong routing,11.37,7,-39,17.98,1,Late delivery,Yes,53.09,4.35,Speed over cost,1,5,58,Moderate,97,Afternoon,"[5, 3, 1, 4, 2]","[1, 2, 5, 3, 4]",Cost,"AI ETA accuracy, CO₂ reporting",5 misses,1.83,49.35,32.88,5,Delivery time
other,Ras Al Khaimah,Tier-1 urban,29.05,4.63,25.86,33.02,23.57,6–10 am,3,Competitor B,4.37,23.68,6.0,21.75,Bike,1.87,17.35,Traffic,27.36,5,-79,24.09,1,Late delivery,No,29.88,3.34,Cost over speed,4,4,81,Heavy,72,Anytime,"[3, 2, 4, 1, 5]","[2, 4, 1, 5, 3]",Speed,CO₂ reporting,3 misses,1.86,22.97,29.4,7,CSAT
e-commerce,Abu Dhabi,Tier-1 urban,20.83,0.49,28.04,55.45,30.14,2–6 pm,5,Competitor A,1.0,7.51,3.54,23.04,Van,1.18,40.77,Traffic,21.55,3,-18,30.47,0,Damaged goods,Yes,16.94,5.45,Both equal,1,5,97,Moderate,65,Evening,"[2, 4, 3, 5, 1]","[5, 2, 4, 1, 3]",Speed,COD handling,Would stay,2.96,23.42,20.99,9,CSAT
pharma,Ajman,Tier-1 urban,143.92,5.95,20.43,6.72,12.84,6–10 am,4,Competitor A,3.73,26.85,3.59,24.09,Van,1.97,43.22,Customs,27.39,10,-81,21.7,1,Damaged goods,Yes,13.48,4.12,Cost over speed,3,4,89,Moderate,3,Afternoon,"[5, 3, 1, 4, 2]","[3, 2, 1, 5, 4]",Cost,"COD handling, 24/7 support, CO₂ reporting",After 1 miss,1.83,16.53,74.38,8,On-time %
fashion,Dubai,Tier-2 suburban,64.96,0.2,16.91,19.24,3.95,6–10 am,3,Traditional 3PL,7.22,30.0,3.55,16.82,Van,1.07,45.62,Wrong routing,30.74,4,74,41.48,1,Late delivery,No,39.83,5.7,Both equal,2,6,35,Heavy,36,Morning,"[1, 4, 5, 2, 3]","[1, 3, 2, 4, 5]",Service,"24/7 support, CO₂ reporting, Real-time tracking",3 misses,2.91,17.02,41.19,2,On-time %
pharma,Abu Dhabi,Tier-1 urban,60.63,4.58,15.06,60.79,24.12,10 am–2 pm,3,Traditional 3PL,2.08,22.03,3.62,21.31,Van,1.98,59.76,Wrong routing,18.71,4,71,42.69,0,Damaged goods,No,15.17,3.08,Both equal,2,9,71,Heavy,86,Anytime,"[4, 1, 3, 5, 2]","[3, 4, 1, 2, 5]",Cost,COD handling,After 1 miss,1.89,18.88,26.72,5,Cost per delivery
electronics,Abu Dhabi,Tier-1 urban,33.38,4.26,14.89,41.17,16.13,6–10 pm,5,Competitor A,4.3,30.33,3.52,16.27,Truck,0.5,35.5,Traffic,5.35,7,86,6.86,1,Late delivery,No,26.62,4.31,Both equal,3,9,11,Moderate,82,Afternoon,"[5, 2, 4, 3, 1]","[1, 5, 3, 2, 4]",Cost,CO₂ reporting,After 1 miss,0.5,12.67,26.69,5,CSAT
groceries,Ajman,Tier-2 suburban,16.02,3.11,29.9,29.51,27.56,10 am–2 pm,1,Traditional 3PL,4.15,28.47,3.6,26.49,Bike,1.68,45.02,Customs,45.54,7,-50,55.65,0,Late delivery,No,19.75,3.28,Cost over speed,1,3,1,Moderate,80,Morning,"[4, 2, 5, 3, 1]","[3, 4, 2, 5, 1]",Reliability,"24/7 support, CO₂ reporting, COD handling",3 misses,1.82,16.56,9.54,5,Cost per delivery
electronics,Dubai,Tier-2 suburban,55.01,0.2,6.18,17.43,32.4,10 am–2 pm,1,Competitor A,6.21,13.12,3.47,25.98,Van,0.6,22.79,Wrong routing,27.79,2,1,69.47,0,Late delivery,No,23.67,1.24,Speed over cost,2,6,54,Light,36,Afternoon,"[5, 4, 1, 3, 2]","[2, 4, 1, 5, 3]",Cost,"Real-time tracking, 24/7 support",After 1 miss,1.56,27.45,39.19,5,CSAT
e-commerce,Dubai,Tier-1 urban,22.5,1.89,23.38,12.96,47.16,2–6 pm,2,Competitor B,6.94,27.96,3.79,18.23,Van,2.07,15.68,Wrong routing,29.65,10,-8,20.02,1,Poor support,No,62.39,6.11,Both equal,3,2,71,Heavy,69,Afternoon,"[2, 3, 4, 1, 5]","[5, 4, 1, 2, 3]",Tech features,Real-time tracking,After 1 miss,2.04,21.18,19.45,5,Cost per delivery
e-commerce,Abu Dhabi,Tier-1 urban,3.48,1.42,6.17,33.66,16.42,2–6 pm,5,Competitor B,2.74,14.51,3.04,19.27,Bike,0.5,30.55,Wrong routing,61.78,2,-84,38.66,3,Damaged goods,No,60.52,3.53,Cost over speed,1,6,70,Light,85,Anytime,"[3, 5, 1, 2, 4]","[5, 2, 4, 3, 1]",Speed,CO₂ reporting,5 misses,0.96,55.02,46.9,11,Delivery time
pharma,Ajman,Rural,62.44,0.2,24.43,45.89,37.0,2–6 pm,5,Traditional 3PL,8.27,29.99,2.78,24.23,Bike,1.09,24.41,Vehicle breakdown,12.08,3,6,24.56,0,High cost,Yes,17.86,2.11,Both equal,1,9,82,Light,89,Afternoon,"[3, 5, 1, 2, 4]","[3, 5, 2, 1, 4]",Reliability,"24/7 support, COD handling, AI ETA accuracy",3 misses,2.2,16.35,53.18,6,CO₂ emissions
groceries,Ras Al Khaimah,Rural,18.6,2.22,15.29,64.23,16.09,10 am–2 pm,2,Competitor B,1.74,26.3,2.8,22.83,Truck,2.01,34.95,Traffic,30.05,5,86,41.03,0,Other,Yes,70.8,7.05,Both equal,2,9,13,Light,77,Afternoon,"[3, 4, 2, 1, 5]","[2, 5, 3, 4, 1]",Speed,CO₂ reporting,5 misses,3.14,57.65,33.71,8,CSAT
e-commerce,Ras Al Khaimah,Tier-1 urban,53.31,3.86,14.38,40.75,24.92,6–10 pm,1,Traditional 3PL,3.6,19.46,3.63,22.05,Van,1.58,45.75,Customs,16.26,10,43,62.79,1,Late delivery,No,18.04,0.3,Cost over speed,3,4,92,Moderate,21,Evening,"[4, 5, 1, 3, 2]","[4, 5, 2, 1, 3]",Tech features,"Real-time tracking, AI ETA accuracy",3 misses,0.5,16.43,29.63,2,CSAT
pharma,Ras Al Khaimah,Tier-2 suburban,26.92,5.46,17.72,14.98,43.24,2–6 pm,2,Competitor B,4.71,10.38,2.92,15.28,Van,2.27,0.94,Traffic,58.78,8,2,53.67,1,Late delivery,No,20.24,7.34,Both equal,1,2,9,Moderate,83,Afternoon,"[1, 4, 5, 2, 3]","[2, 3, 5, 1, 4]",Speed,Real-time tracking,5 misses,2.56,48.19,36.34,6,CSAT
pharma,Dubai,Tier-2 suburban,10.07,7.22,26.21,20.44,33.42,10 am–2 pm,3,Traditional 3PL,4.54,5.0,3.07,17.65,Van,1.82,21.46,Traffic,16.98,3,16,26.21,1,High cost,Yes,23.29,1.65,Both equal,5,2,32,Heavy,63,Morning,"[3, 2, 4, 1, 5]","[1, 4, 5, 3, 2]",Cost,"AI ETA accuracy, Real-time tracking",After 1 miss,1.77,35.16,22.76,2,CSAT
e-commerce,Dubai,Rural,19.46,6.06,23.26,23.05,50.23,10 am–2 pm,1,Competitor A,1.0,14.26,2.61,10.67,Bike,1.77,40.47,Traffic,29.09,4,94,27.27,0,Damaged goods,Yes,35.36,3.43,Speed over cost,1,3,41,Heavy,40,Evening,"[2, 1, 4, 5, 3]","[1, 4, 3, 2, 5]",Speed,AI ETA accuracy,After 1 miss,2.46,7.3,52.9,11,CSAT
groceries,Dubai,Tier-1 urban,1.0,6.41,18.29,27.55,42.25,6–10 pm,2,Competitor B,5.37,5.0,2.94,11.67,Van,1.93,28.58,Traffic,26.82,5,-21,48.44,1,Damaged goods,No,29.64,0.36,Both equal,5,5,91,Heavy,16,Anytime,"[3, 1, 5, 4, 2]","[1, 2, 3, 4, 5]",Cost,"Real-time tracking, CO₂ reporting, 24/7 support",3 misses,1.03,35.29,19.09,1,CSAT
fashion,Dubai,Tier-2 suburban,9.71,3.82,10.77,8.06,21.63,2–6 pm,5,Traditional 3PL,5.42,24.3,2.8,23.12,Bike,1.72,3.0,Wrong routing,21.91,1,70,22.84,0,Late delivery,No,24.9,4.96,Both equal,5,2,76,Light,73,Morning,"[4, 1, 3, 5, 2]","[4, 5, 2, 3, 1]",Tech features,"Real-time tracking, AI ETA accuracy",3 misses,0.5,16.76,46.38,2,CO₂ emissions
e-commerce,Ajman,Tier-2 suburban,48.74,6.02,9.77,11.44,25.32,2–6 pm,2,Competitor B,5.34,44.18,3.09,20.87,Van,1.39,32.98,Traffic,18.82,7,-62,8.53,0,Late delivery,Yes,54.62,2.93,Speed over cost,3,1,72,Moderate,40,Anytime,"[1, 4, 2, 3, 5]","[5, 2, 3, 4, 1]",Speed,"24/7 support, Real-time tracking, COD handling",Would stay,2.25,40.86,10.0,8,CSAT
groceries,Ajman,Tier-1 urban,28.35,0.2,51.84,8.1,37.83,2–6 pm,3,Competitor A,1.62,15.7,3.78,18.7,Bike,2.16,35.66,Traffic,32.97,5,-24,22.11,0,High cost,No,34.81,5.36,Speed over cost,4,3,49,Light,60,Afternoon,"[5, 4, 1, 3, 2]","[4, 1, 5, 2, 3]",Reliability,"AI ETA accuracy, COD handling",5 misses,3.1,60.61,44.08,9,Cost per delivery
electronics,Dubai,Tier-2 suburban,36.3,7.22,8.77,46.01,31.26,10 am–2 pm,2,Competitor B,3.83,25.21,3.63,15.84,Truck,1.6,3.87,Customs,43.63,9,-59,44.22,0,Damaged goods,Yes,30.32,4.26,Speed over cost,3,5,82,Light,76,Morning,"[3, 1, 5, 2, 4]","[2, 4, 5, 3, 1]",Speed,"24/7 support, CO₂ reporting, COD handling",5 misses,1.72,27.42,15.83,10,Delivery time
groceries,Sharjah,Tier-1 urban,50.47,7.38,13.15,15.28,39.94,6–10 am,4,In-house,1.98,29.19,3.94,31.56,Van,2.27,32.85,Customs,40.12,2,82,15.72,3,Damaged goods,No,35.68,1.61,Speed over cost,1,2,44,Moderate,78,Morning,"[5, 1, 4, 2, 3]","[2, 3, 5, 1, 4]",Cost,"CO₂ reporting, 24/7 support, Real-time tracking",5 misses,2.66,40.71,17.44,1,CSAT
electronics,Ras Al Khaimah,Tier-1 urban,61.41,4.35,2.66,30.01,39.74,10 am–2 pm,4,Traditional 3PL,2.14,37.28,2.6,18.66,Van,2.63,41.58,Traffic,13.57,7,13,53.87,0,High cost,Yes,27.64,3.91,Both equal,1,3,11,Heavy,76,Morning,"[5, 4, 2, 1, 3]","[3, 2, 5, 1, 4]",Cost,"CO₂ reporting, Real-time tracking, COD handling",Would stay,1.87,39.16,43.99,1,On-time %
groceries,Abu Dhabi,Tier-1 urban,171.31,1.8,16.7,30.02,38.31,10 am–2 pm,3,Competitor B,3.6,25.32,2.66,29.28,Van,2.02,42.09,Traffic,44.58,6,16,20.18,0,Other,No,30.6,0.0,Cost over speed,3,5,58,Moderate,27,Afternoon,"[5, 4, 3, 2, 1]","[2, 4, 1, 5, 3]",Tech features,"CO₂ reporting, COD handling, Real-time tracking",5 misses,1.27,40.72,23.02,6,Delivery time
groceries,Dubai,Rural,55.31,6.18,15.02,39.62,17.81,6–10 am,1,Traditional 3PL,6.0,30.17,3.67,10.88,Bike,3.08,22.28,Traffic,28.78,5,63,8.9,1,High cost,No,24.84,6.73,Both equal,5,2,10,Heavy,24,Morning,"[5, 1, 4, 2, 3]","[4, 2, 3, 1, 5]",Speed,"Real-time tracking, COD handling",3 misses,0.89,40.36,43.19,7,On-time %
e-commerce,Abu Dhabi,Tier-2 suburban,11.16,8.42,9.39,29.97,9.53,10 am–2 pm,2,Traditional 3PL,3.1,32.73,3.48,24.19,Truck,5.0,41.71,Vehicle breakdown,51.17,1,27,11.91,1,Poor support,Yes,45.17,0.85,Cost over speed,3,2,60,Moderate,87,Morning,"[1, 3, 5, 2, 4]","[4, 3, 5, 1, 2]",Cost,24/7 support,3 misses,2.55,18.92,55.32,7,Delivery time
electronics,Dubai,Tier-2 suburban,5.14,10.59,7.47,35.35,8.28,2–6 pm,1,Competitor A,4.46,8.88,2.8,19.02,Bike,2.03,16.93,Traffic,9.94,1,-40,42.26,0,Late delivery,No,9.21,2.3,Cost over speed,2,5,72,Moderate,18,Evening,"[5, 3, 4, 2, 1]","[3, 1, 4, 2, 5]",Speed,"24/7 support, CO₂ reporting, COD handling",After 1 miss,1.72,38.73,13.68,3,Cost per delivery
electronics,Abu Dhabi,Tier-2 suburban,1.0,3.79,13.18,46.47,23.08,6–10 am,3,Traditional 3PL,3.01,100.0,3.14,20.39,Van,1.62,34.77,Wrong routing,14.38,3,-1,44.25,1,Poor support,No,32.62,6.74,Cost over speed,4,7,51,Heavy,8,Evening,"[5, 2, 1, 3, 4]","[3, 1, 4, 2, 5]",Cost,COD handling,After 1 miss,1.43,19.39,16.6,10,Delivery time
e-commerce,Abu Dhabi,Tier-1 urban,38.16,3.19,13.22,19.61,11.69,6–10 am,5,Competitor A,2.52,25.09,4.64,23.63,Bike,4.14,35.39,Traffic,13.66,4,51,19.38,1,High cost,No,21.99,6.85,Cost over speed,1,8,90,Heavy,35,Evening,"[1, 5, 4, 3, 2]","[2, 1, 4, 5, 3]",Reliability,"CO₂ reporting, 24/7 support",After 1 miss,3.03,50.48,10.88,5,On-time %
pharma,Dubai,Tier-1 urban,55.65,1.14,21.91,16.05,27.3,2–6 pm,2,Competitor A,6.97,30.47,3.8,22.34,Truck,1.66,25.06,Vehicle breakdown,19.99,6,-93,17.79,3,Late delivery,No,30.54,10.08,Cost over speed,1,1,14,Moderate,63,Morning,"[3, 4, 2, 5, 1]","[1, 3, 2, 5, 4]",Speed,24/7 support,After 1 miss,2.31,49.65,21.47,4,CSAT
other,Ras Al Khaimah,Tier-2 suburban,37.45,5.06,17.21,15.57,39.15,2–6 pm,1,Competitor A,4.65,47.99,3.28,23.58,Van,1.46,10.31,Driver shortage,24.7,8,69,39.87,1,Damaged goods,No,27.5,9.52,Both equal,4,7,42,Moderate,84,Morning,"[1, 4, 3, 5, 2]","[5, 3, 1, 2, 4]",Tech features,"CO₂ reporting, Real-time tracking",After 1 miss,0.5,11.79,27.7,11,Delivery time
groceries,Abu Dhabi,Rural,39.62,3.54,35.13,32.29,16.08,6–10 am,1,Competitor B,4.42,16.7,3.15,10.0,Bike,1.38,14.61,Traffic,23.24,6,33,52.86,1,Late delivery,No,33.62,3.84,Cost over speed,2,6,13,Light,80,Afternoon,"[5, 3, 2, 1, 4]","[3, 1, 4, 5, 2]",Speed,COD handling,After 1 miss,1.22,38.55,29.52,7,Delivery time
groceries,Abu Dhabi,Tier-1 urban,70.84,5.14,21.24,15.81,20.01,2–6 pm,3,Competitor B,4.55,19.14,3.4,22.21,Van,2.32,21.21,Traffic,42.38,8,-43,23.62,2,Late delivery,Yes,12.09,4.04,Both equal,2,3,87,Heavy,7,Afternoon,"[3, 4, 1, 2, 5]","[3, 4, 5, 1, 2]",Reliability,"24/7 support, COD handling, Real-time tracking",After 1 miss,2.13,13.05,75.93,6,CO₂ emissions
other,Ras Al Khaimah,Tier-1 urban,44.2,2.45,4.86,33.27,28.9,2–6 pm,3,Competitor B,2.34,14.45,3.75,16.86,Truck,1.8,31.58,Vehicle breakdown,19.3,2,-7,38.73,0,Late delivery,Yes,40.26,6.08,Cost over speed,1,8,4,Light,4,Evening,"[4, 2, 1, 3, 5]","[3, 4, 1, 2, 5]",Service,"AI ETA accuracy, COD handling, Real-time tracking",3 misses,0.5,49.84,23.17,11,Cost per delivery
electronics,Dubai,Tier-1 urban,78.28,4.51,15.58,76.89,11.45,10 am–2 pm,1,Competitor A,5.75,14.96,3.97,23.74,Van,1.52,6.97,Traffic,9.62,5,-81,28.01,0,Other,No,36.07,0.0,Cost over speed,2,9,92,Moderate,73,Afternoon,"[5, 1, 2, 3, 4]","[4, 5, 1, 3, 2]",Service,"AI ETA accuracy, Real-time tracking",After 1 miss,0.8,36.89,14.08,8,CO₂ emissions
groceries,Dubai,Tier-1 urban,1.0,5.46,15.58,23.71,13.99,10 am–2 pm,2,Traditional 3PL,4.05,40.86,3.15,23.36,Van,2.41,18.42,Traffic,17.21,1,-8,47.07,2,Poor support,No,19.47,0.0,Both equal,3,2,6,Moderate,6,Anytime,"[1, 4, 5, 2, 3]","[3, 2, 4, 1, 5]",Reliability,24/7 support,After 1 miss,1.53,30.1,8.7,4,Delivery time
fashion,Ajman,Tier-1 urban,60.32,3.72,23.39,11.51,33.08,6–10 am,4,Competitor A,4.3,24.62,3.67,25.98,Bike,1.21,32.22,Traffic,37.76,5,94,22.4,0,Late delivery,Yes,77.54,3.02,Cost over speed,3,8,32,Heavy,64,Morning,"[5, 1, 3, 4, 2]","[4, 5, 3, 1, 2]",Service,"Real-time tracking, 24/7 support, AI ETA accuracy",Would stay,2.43,24.79,18.36,6,CO₂ emissions
fashion,Dubai,Tier-2 suburban,30.98,3.76,22.33,7.8,65.72,2–6 pm,1,Traditional 3PL,3.26,27.08,2.74,20.92,Bike,1.48,10.52,Wrong routing,9.02,3,-59,8.4,4,Other,Yes,17.95,0.0,Both equal,5,2,66,Light,8,Afternoon,"[4, 5, 3, 2, 1]","[1, 3, 2, 5, 4]",Cost,COD handling,After 1 miss,2.63,4.81,42.41,9,Cost per delivery
groceries,Sharjah,Tier-1 urban,46.14,6.95,15.3,23.02,10.63,10 am–2 pm,1,Traditional 3PL,3.95,22.33,2.88,16.66,Bike,0.79,6.35,Wrong routing,25.54,6,7,14.16,0,Late delivery,Yes,17.81,8.54,Both equal,1,2,98,Light,85,Afternoon,"[2, 5, 3, 1, 4]","[3, 5, 1, 2, 4]",Reliability,COD handling,After 1 miss,2.8,4.71,18.42,8,On-time %
groceries,Dubai,Tier-1 urban,1.0,3.05,14.51,28.68,24.16,10 am–2 pm,2,Competitor A,4.83,16.64,3.03,33.08,Van,5.0,23.17,Traffic,40.18,5,5,14.0,1,Late delivery,Yes,7.47,3.14,Both equal,1,8,73,Heavy,68,Morning,"[3, 2, 1, 5, 4]","[5, 3, 1, 4, 2]",Cost,"AI ETA accuracy, Real-time tracking",5 misses,2.13,56.09,0.45,7,Delivery time
pharma,Dubai,Tier-2 suburban,48.04,6.0,18.27,23.26,3.98,2–6 pm,3,Traditional 3PL,7.24,18.27,3.52,14.29,Van,2.28,58.9,Wrong routing,18.27,2,24,31.77,0,Poor support,Yes,43.01,6.43,Cost over speed,3,6,48,Moderate,89,Afternoon,"[4, 2, 1, 5, 3]","[3, 4, 5, 1, 2]",Speed,Real-time tracking,After 1 miss,2.38,43.27,48.62,4,CSAT
other,Abu Dhabi,Rural,32.9,4.96,9.36,8.31,41.39,6–10 am,2,Competitor A,2.52,15.14,3.26,26.88,Truck,1.29,21.83,Wrong routing,15.59,7,-80,18.22,1,Poor support,Yes,21.24,3.01,Both equal,3,7,94,Light,22,Morning,"[2, 1, 4, 5, 3]","[2, 1, 3, 5, 4]",Speed,"24/7 support, AI ETA accuracy",3 misses,1.75,51.86,31.24,6,Delivery time
electronics,Dubai,Tier-1 urban,1.0,7.57,8.16,57.88,49.71,6–10 am,4,Competitor B,10.95,25.41,2.94,17.62,Van,2.02,23.72,Wrong routing,33.97,4,72,50.49,1,High cost,Yes,50.59,2.83,Cost over speed,3,9,98,Heavy,66,Evening,"[1, 5, 3, 4, 2]","[2, 3, 1, 4, 5]",Service,"24/7 support, Real-time tracking",5 misses,2.2,28.29,19.98,6,On-time %
e-commerce,Sharjah,Tier-2 suburban,10.45,5.87,16.53,41.55,29.36,6–10 am,3,In-house,1.21,27.36,3.82,18.57,Bike,1.6,8.06,Vehicle breakdown,13.82,10,-30,55.64,1,Damaged goods,Yes,17.64,2.09,Both equal,2,9,21,Heavy,100,Morning,"[3, 1, 4, 5, 2]","[4, 1, 3, 2, 5]",Speed,"COD handling, Real-time tracking",3 misses,0.6,42.8,16.43,1,Delivery time
fashion,Sharjah,Tier-1 urban,16.7,5.78,28.28,20.02,28.94,6–10 am,4,In-house,4.96,14.07,3.89,24.76,Van,1.61,56.88,Traffic,26.4,1,7,26.29,2,Late delivery,No,21.42,0.18,Both equal,1,1,75,Moderate,56,Anytime,"[3, 1, 4, 2, 5]","[4, 2, 3, 1, 5]",Reliability,24/7 support,5 misses,1.68,29.17,24.69,3,CSAT
groceries,Ras Al Khaimah,Rural,19.13,6.94,14.17,9.52,41.36,2–6 pm,1,Traditional 3PL,1.0,20.46,2.91,11.97,Van,0.5,26.46,Wrong routing,10.81,7,-35,18.25,1,Late delivery,Yes,39.52,6.89,Speed over cost,5,3,55,Heavy,31,Morning,"[3, 4, 2, 5, 1]","[4, 3, 1, 2, 5]",Speed,Real-time tracking,3 misses,0.53,10.1,61.43,3,Delivery time
e-commerce,Sharjah,Tier-2 suburban,10.35,0.98,20.69,11.69,34.99,2–6 pm,3,Traditional 3PL,2.8,25.98,2.79,21.95,Van,1.12,27.71,Traffic,22.66,10,74,41.53,2,Other,Yes,55.62,12.16,Both equal,1,3,40,Light,53,Afternoon,"[2, 3, 4, 1, 5]","[4, 3, 1, 2, 5]",Speed,"Real-time tracking, CO₂ reporting",3 misses,1.79,55.88,32.45,11,Cost per delivery
groceries,Dubai,Tier-2 suburban,30.81,5.37,13.6,51.96,38.25,10 am–2 pm,5,Traditional 3PL,4.02,5.52,6.0,24.26,Van,1.81,22.84,Driver shortage,35.21,7,-25,25.4,0,Late delivery,Yes,48.46,5.77,Both equal,3,8,24,Heavy,83,Morning,"[1, 3, 2, 4, 5]","[2, 3, 5, 4, 1]",Tech features,AI ETA accuracy,5 misses,2.97,21.31,56.05,8,On-time %
groceries,Ajman,Tier-1 urban,48.52,7.52,7.65,33.26,68.5,6–10 am,4,Competitor A,6.31,36.15,3.06,16.58,Bike,1.97,62.54,Driver shortage,12.23,4,-86,22.19,1,Late delivery,Yes,42.28,4.54,Both equal,2,3,17,Heavy,90,Morning,"[4, 5, 3, 1, 2]","[3, 1, 2, 5, 4]",Reliability,24/7 support,After 1 miss,2.3,21.34,40.49,2,CO₂ emissions
fashion,Sharjah,Tier-2 suburban,45.18,0.21,18.2,35.28,27.68,6–10 am,1,Traditional 3PL,4.7,27.37,2.84,20.46,Bike,1.21,34.7,Driver shortage,60.37,6,55,21.19,2,High cost,Yes,27.22,3.18,Cost over speed,3,5,80,Moderate,69,Evening,"[5, 2, 1, 4, 3]","[3, 2, 1, 4, 5]",Reliability,"24/7 support, COD handling, Real-time tracking",After 1 miss,1.78,13.07,41.4,10,Cost per delivery
e-commerce,Sharjah,Tier-2 suburban,27.51,4.83,10.25,18.92,22.03,6–10 pm,5,In-house,6.45,28.02,4.35,18.96,Van,2.25,38.11,Wrong routing,60.02,1,-87,50.43,3,High cost,Yes,31.74,5.81,Cost over speed,3,4,47,Moderate,88,Evening,"[1, 4, 2, 3, 5]","[1, 4, 2, 5, 3]",Speed,"AI ETA accuracy, CO₂ reporting",5 misses,4.63,34.09,35.99,4,Cost per delivery
fashion,Ajman,Tier-1 urban,48.47,7.86,8.12,21.51,28.68,2–6 pm,2,Traditional 3PL,3.51,100.0,3.03,16.7,Bike,1.64,26.77,Traffic,16.57,3,42,41.43,0,Late delivery,No,17.48,8.1,Speed over cost,2,4,92,Heavy,96,Evening,"[1, 2, 5, 3, 4]","[3, 2, 1, 4, 5]",Cost,"CO₂ reporting, AI ETA accuracy",Would stay,1.37,6.22,4.69,4,Delivery time
